feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg12_contrast,linear,0.03,glasses_test_v2,422,0.7701421800947867,0.7701421800947867,0.7573202904994812,-0.002631196935774998,114,97,0,211
avg12_contrast,linear,0.03,noglasses_highlight_v1,291,0.7903780068728522,0.7934967815221508,0.790130171078611,-0.3102998244827639,120,19,42,110
avg12_contrast,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,-0.08901158170738521,211,0,0,191
lr12_shape,linear,0.0003,glasses_highlight_v1,422,0.6137440758293838,0.613744075829384,0.6070696165292844,-0.15909646744742487,102,109,54,157
lr12_shape,linear,0.0003,glasses_highlight_v2,422,0.976303317535545,0.976303317535545,0.9762900035958288,0.0038717460349048495,201,10,0,211
lr12_shape,linear,0.0003,glasses_test_v2,422,0.8246445497630331,0.8246445497630331,0.819386928860613,0.12326557767701009,210,1,73,138
lr12_shape,linear,0.0003,noglasses_highlight_v1,291,0.6701030927835051,0.6817493373722074,0.6516360734237829,-0.035520718670225465,131,8,88,64
lr12_shape,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,-0.14777231914830286,211,0,0,191
lr12_shape,linear,0.001,glasses_highlight_v1,422,0.5971563981042654,0.5971563981042654,0.5951101679609897,-0.06667264569294255,141,70,100,111
lr12_shape,linear,0.001,glasses_highlight_v2,422,0.981042654028436,0.981042654028436,0.9810358386698124,-0.04245423793643266,203,8,0,211
lr12_shape,linear,0.001,glasses_test_v2,422,0.8080568720379147,0.8080568720379147,0.8014463710028753,0.06738115934689208,209,2,79,132
lr12_shape,linear,0.001,noglasses_highlight_v1,291,0.7525773195876289,0.7628502461188944,0.7427055702917772,-0.18416328513198546,138,1,71,81
lr12_shape,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,-0.20010959802576075,211,0,0,191
lr12_shape,linear,0.003,glasses_highlight_v1,422,0.5853080568720379,0.5853080568720379,0.5813563261395781,0.0,144,67,108,103
lr12_shape,linear,0.003,glasses_highlight_v2,422,0.976303317535545,0.976303317535545,0.9762900035958288,-0.06525474505717707,201,10,0,211
