feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
lr4,linear,0.001,4,15,60,60,1959,5,0.7822380742984643,0.7827243917014057,0.7782605868925451,0.8024502297090352,0.1688708036622584,0.22643442622950818,817,166,221,755,0.0,0.0,0,"60 MACs/window, simple HLS update"
lr4,poly2_linear,0.01,4,15,60,1890,1959,5,0.7813634957085389,0.7827175725122072,0.7796679838260854,0.7953037263910159,0.15971515768056968,0.25,826,157,244,732,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg8_runs,linear,1.0,8,15,120,120,1959,5,0.7801094444715884,0.782571902069265,0.7741450253629178,0.7886676875957122,0.15971515768056968,0.26331967213114754,826,157,257,719,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr4,poly2_linear,0.0003,4,15,60,1890,1959,5,0.7789433396850214,0.7807374280171772,0.7744535040349673,0.8014293006636038,0.15462868769074262,0.24282786885245902,831,152,237,739,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg10_robust,linear,0.03,10,15,150,150,1959,5,0.7765785573524862,0.7791934648838674,0.7695864591825419,0.7850944359367024,0.2034587995930824,0.22643442622950818,783,200,221,755,0.0,0.0,0,"150 MACs/window, simple HLS update"
lr4,linear,0.003,4,15,60,60,1959,5,0.7768114525822055,0.7776963388132099,0.7739719494439387,0.7968351199591628,0.16378433367243134,0.24282786885245902,822,161,237,739,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg10_robust,linear,0.1,10,15,150,150,1959,5,0.7734515724499601,0.7757753238666238,0.7672985476420564,0.7789688616641144,0.22380467955239064,0.2182377049180328,763,220,213,763,0.0,0.0,0,"150 MACs/window, simple HLS update"
lr4,poly2_linear,0.001,4,15,60,1890,1959,5,0.772308268594974,0.7742869460978985,0.7671225546023424,0.7942827973455845,0.15971515768056968,0.2520491803278688,826,157,246,730,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg8_runs,linear,0.01,8,15,120,120,1959,5,0.7713636585723359,0.7742587272162813,0.7623529931728384,0.7840735068912711,0.17599186164801628,0.25614754098360654,810,173,250,726,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg10_robust,linear,0.01,10,15,150,150,1959,5,0.770249670200811,0.7733559697515123,0.7583429242111038,0.7835630423685553,0.1963377416073245,0.23668032786885246,790,193,231,745,0.0,0.0,0,"150 MACs/window, simple HLS update"
avg10_robust,linear,0.3,10,15,150,150,1959,5,0.7703001579778831,0.7725972676585596,0.7635366612101278,0.774885145482389,0.2299084435401831,0.22028688524590165,757,226,215,761,0.0,0.0,0,"150 MACs/window, simple HLS update"
avg10_robust,linear,1.0,10,15,150,150,1959,5,0.7667220403576489,0.7689897595517998,0.7596536345781398,0.7708014293006636,0.2268565615462869,0.23155737704918034,760,223,226,750,0.0,0.0,0,"150 MACs/window, simple HLS update"
lr4,linear,0.01,4,15,60,60,1959,5,0.7669533069493981,0.7684479929152215,0.7630084793757839,0.7871362940275651,0.1525940996948118,0.2735655737704918,833,150,267,709,0.0,0.0,0,"60 MACs/window, simple HLS update"
lr4,poly2_linear,0.003,4,15,60,1890,1959,5,0.7664321427989773,0.7683602855804655,0.761851723251372,0.7861153649821337,0.16581892166836215,0.26229508196721313,820,163,256,720,0.0,0.0,0,1890 expanded linear terms; HLS/PS input path must change
avg10_robust,linear,0.003,10,15,150,150,1959,5,0.7625950717415025,0.7657840452507039,0.749711373817675,0.7769270035732516,0.1953204476093591,0.2510245901639344,791,192,245,731,0.0,0.0,0,"150 MACs/window, simple HLS update"
lr4,linear,0.03,4,15,60,60,1959,5,0.7625690135339815,0.7642721816560222,0.7578432948893818,0.7835630423685553,0.1525940996948118,0.2807377049180328,833,150,274,702,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg8_runs,linear,0.003,8,15,120,120,1959,5,0.7600120519209785,0.7631688861931158,0.7479031549400889,0.7743746809596733,0.1770091556459817,0.27459016393442626,809,174,268,708,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr4,linear,0.3,4,15,60,60,1959,5,0.7611472125861142,0.7628503807081548,0.7564489616537162,0.7820316488004083,0.1536113936927772,0.2827868852459016,832,151,276,700,0.0,0.0,0,"60 MACs/window, simple HLS update"
lr4,linear,1.0,4,15,60,60,1959,5,0.7611472125861142,0.7628503807081548,0.7564489616537162,0.7820316488004083,0.1536113936927772,0.2827868852459016,832,151,276,700,0.0,0.0,0,"60 MACs/window, simple HLS update"
lr4,linear,0.1,4,15,60,60,1959,5,0.7606732789368251,0.7623764470588658,0.7559266435721369,0.7815211842776927,0.1536113936927772,0.2838114754098361,832,151,277,699,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg10_robust,linear,0.001,10,15,150,150,1959,5,0.7538509144802201,0.7570692784759471,0.741142792012045,0.7677386421643696,0.19837232960325535,0.26639344262295084,788,195,260,716,0.0,0.0,0,"150 MACs/window, simple HLS update"
