feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg4_dark,linear,1.0,glasses_highlight_v2,422,0.5379146919431279,0.5379146919431279,0.41246189106019604,0.0,16,195,0,211
avg4_dark,linear,1.0,glasses_test_v2,422,0.8815165876777251,0.8815165876777251,0.8813460197494207,0.0,194,17,33,178
avg4_dark,linear,1.0,noglasses_highlight_v1,291,0.49140893470790376,0.5070049223778872,0.43073913503225125,0.0,119,20,128,24
avg4_dark,linear,1.0,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,poly2_linear,0.0003,glasses_highlight_v1,422,0.6350710900473934,0.6350710900473934,0.6280448717948718,0.0,163,48,106,105
avg4_dark,poly2_linear,0.0003,glasses_highlight_v2,422,0.6066350710900474,0.6066350710900474,0.534624787414966,0.0,45,166,0,211
avg4_dark,poly2_linear,0.0003,glasses_test_v2,422,0.8720379146919431,0.8720379146919431,0.8716226874281723,0.0,196,15,39,172
avg4_dark,poly2_linear,0.0003,noglasses_highlight_v1,291,0.5051546391752577,0.5220087088224157,0.43428015984447566,0.0,125,14,130,22
avg4_dark,poly2_linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,poly2_linear,0.001,glasses_highlight_v1,422,0.6895734597156398,0.6895734597156398,0.6895298749290966,0.0,143,68,63,148
avg4_dark,poly2_linear,0.001,glasses_highlight_v2,422,0.533175355450237,0.533175355450237,0.4030945970202836,0.0,14,197,0,211
avg4_dark,poly2_linear,0.001,glasses_test_v2,422,0.8933649289099526,0.8933649289099526,0.8932300305298018,0.0,196,15,30,181
avg4_dark,poly2_linear,0.001,noglasses_highlight_v1,291,0.5051546391752577,0.5223163574403635,0.4310850439882698,0.0,126,13,131,21
avg4_dark,poly2_linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,poly2_linear,0.003,glasses_highlight_v1,422,0.6682464454976303,0.6682464454976302,0.6665613147914033,0.0,126,85,55,156
avg4_dark,poly2_linear,0.003,glasses_highlight_v2,422,0.5213270142180095,0.5213270142180095,0.37905011655011656,0.0,9,202,0,211
avg4_dark,poly2_linear,0.003,glasses_test_v2,422,0.919431279620853,0.919431279620853,0.9194240402542848,0.0,196,15,19,192
avg4_dark,poly2_linear,0.003,noglasses_highlight_v1,291,0.5120274914089347,0.5298182506626278,0.4323901098901099,0.0,129,10,132,20
avg4_dark,poly2_linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,poly2_linear,0.01,glasses_highlight_v1,422,0.6255924170616114,0.6255924170616114,0.6162046417388101,0.0,99,112,46,165
avg4_dark,poly2_linear,0.01,glasses_highlight_v2,422,0.5118483412322274,0.5118483412322274,0.35913540929464494,0.0,5,206,0,211
avg4_dark,poly2_linear,0.01,glasses_test_v2,422,0.9289099526066351,0.9289099526066351,0.9288955787203451,0.0,193,18,12,199
avg4_dark,poly2_linear,0.01,noglasses_highlight_v1,291,0.5326460481099656,0.5514009844755774,0.4461486789072996,0.0,135,4,132,20
avg4_dark,poly2_linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg6_shape,linear,0.0003,glasses_highlight_v1,422,0.4312796208530806,0.4312796208530806,0.43096008629989213,0.0,86,125,115,96
avg6_shape,linear,0.0003,glasses_highlight_v2,422,0.9928909952606635,0.9928909952606635,0.992890635967991,0.0,208,3,0,211
